pcs;prime forme;closed p;closable p;average size
4.1;0 1 2 3;[321000];0.004;0.526;3.04
4.2;0 1 2 4;[221100];0.358;0.764;15.348
4.3;0 1 3 4;[212100];1.0;1.0;9.0
4.4;0 1 2 5;[211110];0.756;1.0;13.672
4.5;0 1 2 6;[210111];0.436;1.0;14.92
4.6;0 1 2 7;[210021];1.0;1.0;7.0
4.7;0 1 4 5;[201210];1.0;1.0;7.0
4.8;0 1 5 6;[200121];1.0;1.0;13.0
4.9;0 1 6 7;[200022];1.0;1.0;3.008
4.10;0 2 3 5;[122010];1.0;1.0;9.0
4.11;0 1 3 5;[121110];0.206;0.53;16.136
4.12;0 2 3 6;[112101];0.284;0.634;15.172
4.13;0 1 3 6;[112011];0.752;0.87;12.212
4.14;0 2 3 7;[111120];1.0;1.0;7.0
4.15;0 1 4 6;[111111];1.0;1.0;9.0
4.16;0 1 5 7;[110121];0.0;1.0;17.0
4.17;0 3 4 7;[102210];1.0;1.0;7.0
4.18;0 1 4 7;[102111];0.406;0.716;14.96
4.19;0 1 4 8;[101310];0.128;0.38;16.348
4.20;0 1 5 8;[101220];1.0;1.0;3.008
4.21;0 2 4 6;[030201];0.93;0.986;10.358
4.22;0 2 4 7;[021120];0.364;0.798;15.22
4.23;0 2 5 7;[021030];1.0;1.0;13.0
4.24;0 2 4 8;[020301];0.588;0.842;13.844
4.25;0 2 6 8;[020202];1.0;1.0;3.008
4.26;0 3 5 8;[012120];1.0;1.0;13.0
4.27;0 2 5 8;[012111];0.29;0.63;15.336
4.28;0 3 6 9;[004002];1.0;1.0;3.008
4.29;0 1 3 7;[111111];1.0;1.0;9.0
5.1;0 1 2 3 4;[432100];0.0;0.394;3.036
5.2;0 1 2 3 5;[332110];0.0;0.112;3.066
5.3;0 1 2 4 5;[322210];0.006;0.128;3.382
5.4;0 1 2 3 6;[322111];0.52;0.676;3.042
5.5;0 1 2 3 7;[321121];0.446;1.0;3.02
5.6;0 1 2 5 6;[311221];0.168;0.456;16.428
5.7;0 1 2 6 7;[310132];0.008;0.098;3.398
5.8;0 2 3 4 6;[232201];0.502;0.768;3.012
5.9;0 1 2 4 6;[231211];0.0;0.294;3.102
5.10;0 1 3 4 6;[223111];0.002;0.166;3.05
5.11;0 2 3 4 7;[222220];0.0;0.166;3.074
5.12;0 1 3 5 6;[222121];0.496;1.0;3.012
5.13;0 1 2 4 8;[221311];0.002;0.084;3.026
5.14;0 1 2 5 7;[221131];0.0;0.142;3.026
5.15;0 1 2 6 8;[220222];0.008;0.008;3.054
5.16;0 1 3 4 7;[213211];0.0;0.116;3.036
5.17;0 1 3 4 8;[212320];0.512;0.76;3.018
5.18;0 1 4 5 7;[212221];0.496;0.996;3.068
5.19;0 1 3 6 7;[212122];0.484;0.638;3.012
5.20;0 1 3 7 8;[211231];0.0;0.132;3.042
5.21;0 1 4 5 8;[202420];0.116;0.312;16.3
5.22;0 1 4 7 8;[202321];0.524;1.0;3.016
5.23;0 2 3 5 7;[132130];0.002;0.574;3.284
5.24;0 1 3 5 7;[131221];0.0;0.254;3.078
5.25;0 2 3 5 8;[123121];0.002;0.11;3.172
5.26;0 2 4 5 8;[122311];0.476;0.624;3.108
5.27;0 1 3 5 8;[122230];0.0;0.16;3.17
5.28;0 2 3 6 8;[122212];0.51;0.686;3.018
5.29;0 1 3 6 8;[122131];0.008;0.156;3.102
5.30;0 1 4 6 8;[121321];0.002;0.694;3.354
5.31;0 1 3 6 9;[114112];0.002;0.142;3.046
5.32;0 1 4 6 9;[113221];0.148;0.414;16.284
5.33;0 2 4 6 8;[040402];0.316;0.528;15.348
5.34;0 2 4 6 9;[032221];0.488;1.0;3.04
5.35;0 2 4 7 9;[032140];0.0;0.004;3.148
5.36;0 1 2 4 7;[222121];0.498;0.67;3.236
5.37;0 3 4 5 8;[212320];0.522;0.998;3.018
5.38;0 1 2 5 8;[212221];0.48;0.676;14.092
6.1;0 1 2 3 4 5;[543210];0.0;0.32;3.022
6.2;0 1 2 3 4 6;[443211];0.0;0.002;3.094
6.3;0 1 2 3 5 6;[433221];0.13;0.21;16.34
6.4;0 1 2 4 5 6;[432321];1.0;1.0;7.0
6.5;0 1 2 3 6 7;[422232];0.002;0.002;3.198
6.6;0 1 2 5 6 7;[421242];1.0;1.0;13.0
6.7;0 1 2 6 7 8;[420243];1.0;1.0;3.008
6.8;0 2 3 4 5 7;[343230];0.004;0.006;3.018
6.9;0 1 2 3 5 7;[342231];0.518;0.632;13.8
6.10;0 1 3 4 5 7;[333321];0.936;0.976;10.124
6.11;0 1 2 4 5 7;[333231];0.0;0.0;3.098
6.12;0 1 2 4 6 7;[332232];0.342;0.398;14.872
6.13;0 1 3 4 6 7;[324222];1.0;1.0;7.0
6.14;0 1 3 4 5 8;[323430];0.452;0.498;14.664
6.15;0 1 2 4 5 8;[323421];0.002;0.004;3.126
6.16;0 1 4 5 6 8;[322431];0.998;0.998;3.028
6.17;0 1 2 4 7 8;[322332];0.454;0.514;14.14
6.18;0 1 2 5 7 8;[322242];1.0;1.0;3.012
6.19;0 1 3 4 7 8;[313431];0.24;0.354;15.688
6.20;0 1 4 5 8 9;[303630];1.0;1.0;3.008
6.21;0 2 3 4 6 8;[242412];0.0;0.198;3.03
6.22;0 1 2 4 6 8;[241422];0.224;0.414;15.984
6.23;0 2 3 5 6 8;[234222];1.0;1.0;7.0
6.24;0 1 3 4 6 8;[233331];0.01;0.99;3.206
6.25;0 1 3 5 6 8;[233241];0.062;0.19;16.74
6.26;0 1 3 5 7 8;[232341];1.0;1.0;3.008
6.27;0 1 3 4 6 9;[225222];0.23;0.358;15.892
6.28;0 1 3 5 6 9;[224322];1.0;1.0;3.008
6.29;0 1 3 6 8 9;[224232];1.0;1.0;3.008
6.30;0 1 3 6 7 9;[224223];1.0;1.0;7.0
6.31;0 1 3 5 8 9;[223431];0.0;0.002;3.118
6.32;0 2 4 5 7 9;[143250];1.0;1.0;13.0
6.33;0 2 3 5 7 9;[143241];0.002;0.322;3.222
6.34;0 1 3 5 7 9;[142422];0.0;0.212;3.066
6.35;0 2 4 6 8 10;[060603];1.0;1.0;3.008
6.36;0 1 2 3 4 7;[433221];0.0;0.0;3.058
6.37;0 1 2 3 4 8;[432321];0.998;1.0;3.024
6.38;0 1 2 3 7 8;[421242];1.0;1.0;13.0
6.39;0 2 3 4 5 8;[333321];0.008;0.01;3.346
6.40;0 1 2 3 5 8;[333231];0.002;0.004;3.17
6.41;0 1 2 3 6 8;[332232];0.388;0.488;14.352
6.42;0 1 2 3 6 9;[324222];0.002;0.354;3.026
6.43;0 1 2 5 6 8;[322332];1.0;1.0;3.012
6.44;0 1 2 5 6 9;[313431];0.27;0.382;15.492
6.45;0 2 3 4 6 9;[234222];1.0;1.0;3.008
6.46;0 1 2 4 6 9;[233331];0.742;0.802;12.464
6.47;0 1 2 4 7 9;[233241];0.0;0.0;3.078
6.48;0 1 2 5 7 9;[232341];1.0;1.0;3.008
6.49;0 1 3 4 7 9;[224322];1.0;1.0;3.008
6.50;0 1 4 6 7 9;[224232];1.0;1.0;3.008
7.1;0 1 2 3 4 5 6;[654321];0.0;0.284;3.03
7.2;0 1 2 3 4 5 7;[554331];0.0;0.002;3.094
7.3;0 1 2 3 4 5 8;[544431];0.002;0.002;3.252
7.4;0 1 2 3 4 6 7;[544332];0.006;0.17;3.458
7.5;0 1 2 3 5 6 7;[543342];0.0;0.09;3.138
7.6;0 1 2 3 4 7 8;[533442];0.0;0.458;3.296
7.7;0 1 2 3 6 7 8;[532353];0.0;0.08;3.296
7.8;0 2 3 4 5 6 8;[454422];0.002;0.002;3.038
7.9;0 1 2 3 4 6 8;[453432];0.008;0.112;3.22
7.10;0 1 2 3 4 6 9;[445332];0.0;0.002;3.264
7.11;0 1 3 4 5 6 8;[444441];0.0;0.0;3.118
7.12;0 1 2 3 4 7 9;[444342];0.484;0.484;3.012
7.13;0 1 2 4 5 6 8;[443532];0.34;0.392;14.78
7.14;0 1 2 3 5 7 8;[443352];0.0;0.0;3.096
7.15;0 1 2 4 6 7 8;[442443];0.442;1.0;3.016
7.16;0 1 2 3 5 6 9;[435432];0.0;0.004;3.63
7.17;0 1 2 4 5 6 9;[434541];0.006;0.006;3.042
7.18;0 1 2 3 5 8 9;[434442];0.002;0.004;3.118
7.19;0 1 2 3 6 7 9;[434343];0.448;0.484;14.06
